geoName,downhearted
Alabama,0
Alaska,0
Arizona,0
Arkansas,0
California,89
Colorado,0
Connecticut,0
Delaware,0
District of Columbia,0
Florida,100
Georgia,90
Hawaii,0
Idaho,0
Illinois,32
Indiana,0
Iowa,0
Kansas,0
Kentucky,0
Louisiana,0
Maine,0
Maryland,0
Massachusetts,27
Michigan,29
Minnesota,44
Mississippi,0
Missouri,0
Montana,0
Nebraska,0
Nevada,0
New Hampshire,0
New Jersey,64
New Mexico,0
New York,61
North Carolina,60
North Dakota,0
Ohio,58
Oklahoma,0
Oregon,70
Pennsylvania,73
Rhode Island,0
South Carolina,0
South Dakota,0
Tennessee,0
Texas,48
Utah,0
Vermont,0
Virginia,35
Washington,33
West Virginia,0
Wisconsin,0
Wyoming,0
